Timestep,function
811000,3.622e-07
812000,3.62019e-07
813000,3.63321e-07
814000,2.89873e-07
815000,3.62196e-07
816000,3.61661e-07
817000,2.94917e-07
818000,1.47158e-07
819000,2.88825e-07
820000,2.88815e-07
821000,2.17741e-07
822000,4.30815e-07
823000,2.88385e-07
824000,7.08506e-07
825000,3.55952e-07
826000,2.16862e-07
827000,3.55209e-07
828000,1.46188e-07
829000,2.84736e-07
830000,3.55583e-07
831000,2.8715e-07
832000,7.52696e-08
833000,1.44928e-07
834000,4.22099e-07
835000,2.14793e-07
836000,1.44205e-07
837000,1.44206e-07
838000,4.9018e-07
839000,2.83475e-07
840000,2.87157e-07
841000,7.40101e-08
842000,1.44328e-07
843000,3.50686e-07
844000,2.80694e-07
845000,2.13387e-07
846000,1.41549e-07
847000,4.18221e-07
848000,3.46448e-07
849000,2.11548e-07
850000,4.14465e-07
851000,2.099e-07
852000,2.10143e-07
853000,3.45868e-07
854000,2.10289e-07
855000,3.44093e-07
856000,1.43451e-07
857000,3.44808e-07
858000,2.75576e-07
859000,1.41716e-07
860000,3.429e-07
861000,2.76321e-07
862000,7.26101e-08
863000,2.74603e-07
864000,4.07155e-07
865000,2.72622e-07
866000,4.07611e-07
867000,7.30805e-08
868000,4.75352e-07
869000,5.41389e-09
870000,7.24733e-08
871000,3.37794e-07
872000,2.06002e-07
873000,1.39692e-07
874000,1.38083e-07
875000,1.39986e-07
876000,3.36486e-07
877000,3.38545e-07
878000,2.02834e-07
879000,7.17346e-08
880000,3.34386e-07
881000,3.35277e-07
882000,2.06497e-07
883000,2.02265e-07
884000,1.44375e-07
885000,2.01916e-07
886000,2.71503e-07
887000,3.31696e-07
888000,1.35867e-07
889000,3.97171e-07
890000,2.65947e-07
891000,3.32502e-07
892000,1.99449e-07
893000,7.43269e-08
894000,1.98472e-07
895000,2.64284e-07
896000,2.65958e-07
897000,3.26662e-07
898000,9.12953e-09
899000,3.28003e-07
900000,2.65749e-07
901000,3.91234e-07
902000,1.97946e-07
903000,3.89769e-07
904000,3.26639e-07
905000,3.30555e-07
906000,2.62048e-07
907000,3.90834e-07
908000,3.25126e-07
909000,1.97273e-07
910000,3.25463e-07
911000,3.21775e-07
912000,3.88143e-07
913000,3.85968e-07
914000,1.01925e-08
915000,1.32094e-07
916000,4.49162e-07
917000,3.83967e-07
918000,6.81815e-08
919000,2.00542e-07
920000,2.56833e-07
921000,3.85794e-07
922000,5.07474e-07
923000,2.57446e-07
924000,6.92033e-08
925000,1.9337e-07
926000,3.87988e-07
927000,2.54639e-07
928000,2.59562e-07
929000,2.54571e-07
930000,1.9134e-07
931000,1.93891e-07
932000,3.79267e-07
933000,3.85234e-07
934000,1.2925e-07
935000,7.0852e-08
936000,2.53103e-07
937000,3.76082e-07
938000,2.51258e-07
939000,3.12812e-07
940000,6.90587e-08
941000,2.51177e-07
942000,2.57348e-07
943000,4.34256e-07
944000,1.31346e-07
945000,1.26916e-07
946000,6.61589e-08
947000,2.5376e-07
948000,3.10703e-07
949000,1.94875e-07
950000,2.48403e-07
951000,1.28755e-07
952000,3.09157e-07
953000,1.87523e-07
954000,3.71988e-07
955000,1.26841e-07
956000,6.92202e-08
957000,2.47264e-07
958000,2.46976e-07
959000,3.66607e-07
960000,6.59493e-08
961000,1.27929e-07
962000,4.23752e-09
963000,3.72581e-07
964000,4.24901e-07
965000,1.87695e-07
966000,4.64363e-09
967000,2.44467e-07
968000,4.26258e-07
969000,3.03725e-07
970000,5.79108e-09
971000,1.84295e-07
972000,1.23528e-07
973000,3.03168e-07
974000,2.41831e-07
975000,3.61608e-07
976000,1.25379e-07
977000,1.8241e-07
978000,3.60778e-07
979000,3.0151e-07
980000,2.41027e-07
981000,1.23413e-07
982000,4.53137e-09
983000,6.32942e-08
984000,1.81685e-07
985000,4.75577e-07
986000,2.39699e-07
987000,6.34226e-08
988000,5.04282e-09
989000,5.32855e-07
990000,1.79766e-07
991000,2.38315e-07
992000,4.96843e-09
993000,3.55243e-07
994000,3.54201e-07
995000,2.36868e-07
996000,1.79153e-07
997000,6.38406e-08
998000,6.26437e-08
999000,1.22461e-07
1000000,2.94022e-07
1000122,5.63561e-10
